,code,location,longitude,latitude
112,112,"Pleiade Observatory, Verona",10.9039 ,45.38656444520417
113,113,"Volkssternwarte Drebach, Schoenbrunn",13.0166 ,50.578532154582724
114,114,"Engelhardt Observatory, Zelenchukskaya Station",41.4277 ,43.540302100530624
115,115,Zelenchukskaya,41.44067,43.53081941354881
116,116,Giesing,11.5958 ,48.0154646859577
117,117,Sendling,11.5385 ,48.01238139744508
118,118,"Astronomical and Geophysical Observatory, Modra",17.2740 ,48.27316319356757
119,119,Abastuman,42.8200 ,41.64210401551341
120,120,Visnjan,13.7261 ,45.179341997584174
121,121,"Kharkiv University, Chuguevskaya Station",36.93403,49.54459539286089
122,122,Pises Observatory, 3.5035 ,43.93148226436056
123,123,Byurakan,44.2917 ,40.22449622479076
124,124,Castres, 2.2550 ,43.502860825226676
125,125,Tbilisi,44.78950,41.61760963873524
126,126,Monte Viseggi, 9.7903 ,44.03379022663991
127,127,Bornheim, 6.9797 ,50.6652567910719
128,128,Saratov,46.00661,51.444018182772794
129,129,Ordubad,45.92   ,39.01328699712904
130,130,Lumezzane,10.23963,45.561120732267426
131,131,Observatoire de l'Ardeche, 4.725  ,44.57764089297804
132,132,Bedoin, 5.2461 ,44.01235422979331
133,133,Les Tardieux, 5.0906 ,43.265130783377465
134,134,Groszschwabhausen,11.48245,50.83121615464939
135,135,Kasan,49.1210 ,55.699725965333
136,136,"Engelhardt Observatory, Kasan",48.8156 ,55.74895524373254
137,137,Givatayim Observatory,34.8147 ,31.982490396894256
138,138,Village-Neuf, 7.5717 ,47.50700988042062
139,139,Antibes, 7.1108 ,43.50951893543582
140,140,Augerolles, 3.6294 ,45.61710593691412
141,141,Hottviller, 7.3672 ,48.96955218817023
142,142,Sinsen, 7.1874 ,51.569856355866555
143,143,Gnosca, 9.02406,46.13305607903235
144,144,Bray et Lu, 1.6660 ,49.04318520162988
145,145,'s-Gravenwezel, 4.5597 ,51.14585591842437
146,146,Frignano,10.6673 ,44.18032231680969
147,147,Osservatorio Astronomico di Suno, 8.57391,45.538486850769644
148,148,Guitalens, 2.0375 ,43.546955631694416
149,149,Beine-Nauroy, 4.2236 ,49.15385972150308
150,150,Maisons Laffitte, 2.1572 ,48.847915338848715
151,151,"Eschenberg Observatory, Winterthur", 8.7440 ,47.37555194381806
152,152,Moletai Astronomical Observatory,25.5633 ,55.22466653589459
153,153,Stuttgart-Hoffeld, 9.1747 ,48.63908608957626
154,154,Cortina,12.1043 ,46.43081243647299
155,155,"Ole Romer Observatory, Aarhus",10.1971 ,56.03820323303545
156,156,Catania Astrophysical Observatory,15.0858 ,37.4098680910216
157,157,Frasso Sabino,12.8117 ,42.12698526574199
158,158,Promiod, 7.6033 ,45.67640147119571
159,159,Monte Agliale,10.5153 ,43.89182825449192
160,160,Castelmartini,10.84144,43.72621211925306
161,161,Cerrina Tololo Observatory, 8.1605 ,44.98839402334491
162,162,Potenza,15.7805 ,40.54637990396973
163,163,"Roeser Observatory, Luxembourg", 6.1492 ,49.4455796291296
164,164,St. Michel sur Meurthe, 6.8861 ,48.21709633369107
165,165,"Piera Observatory, Barcelona", 1.7553 ,41.42347990139929
166,166,Upice,16.0117 ,50.409219330885236
167,167,Bulach Observatory, 8.5727 ,47.4199207943981
168,168,Kourovskaya,59.5472 ,56.94731395040782
169,169,Airali Observatory, 8.4016 ,44.978667811017225
170,170,Observatorio de Begues, 1.9206 ,41.22129875860298
171,171,"Flarestar Observatory, San Gwann",14.4697 ,35.817021819359205
172,172,Onnens, 7.0364 ,46.69120966198975
173,173,"St. Clotilde, Reunion",55.5061 ,20.829937916485104
174,174,"Nyrola Observatory, Jyvaskyla",25.5131 ,62.2664768827154
175,175,"F.-X. Bagnoud Observatory, St-Luc", 7.6083 ,46.11604653751178
176,176,Observatorio Astronomico de Consell, 2.8225 ,39.55802626175227
177,177,Le Cres, 3.9414 ,43.55028209246454
178,178,Collonges, 6.1344 ,46.03411012100744
179,179,Monte Generoso, 9.0175 ,45.8179875637661
180,180,Mauguio, 3.9519 ,43.47205645358496
